"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"L203";"L_Axial_L7.0mm_D3.3mm_P10.16mm_Horizontal_Fastron_MICC";1;"5uH";;;
2;"R118,R117,R114,R113";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";4;"10k";;;
3;"R116,R115";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"4k7";;;
4;"R112,R111,R110,R109";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";4;"2k2";;;
5;"R108,R107,R106,R105";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";4;"22R";;;
6;"R104,R103";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"2k";;;
7;"R102,R101";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"240R";;;
8;"C208,C207,C205,C204,C203,C105,C104";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";7;"100nF";;;
9;"C103";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"0.1uF";;;
10;"C102,C101";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"22nF";;;
11;"L202,L201";"L0315";2;"22u";;;
12;"U103";"SOIC-14_3.9x8.7mm_P1.27mm";1;"TL074/TLV3544";;;
13;"U204";"SOT23-DBV";1;"TPS72301";;;
14;"U203";"SOT23-DBV";1;"TPS76901";;;
15;"U202";"SOT23-DBV";1;"LM2611";;;
16;"U201";"SOT23-DBV";1;"TPS76933";;;
17;"R206,R205,R204,R203";"C0805";4;"30k";;;
18;"R202";"C0805";1;"10k";;;
19;"R201";"C0805";1;"29k4";;;
20;"J202";"PinHeader_1x05_P2.54mm_Vertical";1;"Power Output";;;
21;"J201";"PinSocket_1x02_P2.54mm_Vertical";1;"Power Input";;;
22;"D201";"SOD123";1;"MBR0520LT";;;
23;"C213,C212,C206,C201";"153CLV-0405";4;"10u";;;
24;"C211,C202";"C0805";2;"22u";;;
25;"C210";"C0805";1;"1n";;;
26;"C209";"C0805";1;"2u2";;;
27;"U101";"CMODS7-25";1;"Digilent_CMOD-S7_25";;;
28;"RV104,RV103";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles";2;"10kA";;;
29;"RV102,RV101";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles";2;"10kB";;;
30;"J101";"PinHeader_1x02_P2.54mm_Vertical";1;"DAC_OUT_BUF";;;
31;"U102";"LQFP-48_7x7mm_P0.5mm";1;"ADC9765";;;
32;"J102";"PinHeader_1x02_P2.54mm_Vertical";1;"DAC_OUT";;;
